Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1601,100nF,C_0402_1005Metric,122.047,-164.719,180.0,top
C201,12pF,C_0603_1608Metric,134.232,-137.87,-90.0,top
C202,100nF,C_0402_1005Metric,131.809411,-140.876411,-45.0,top
C203,12pF,C_0603_1608Metric,131.47,-134.949,180.0,top
C401,1000uF,CP_Elec_8x10.5,109.5,-130.0,90.0,top
C402,22uF,C_0603_1608Metric,120.827,-142.181,180.0,top
C501,100nF,C_0603_1608Metric,108.455,-121.477,180.0,top
C901,22uF,C_0603_1608Metric,118.4125,-125.191,180.0,top
C902,100nF,C_0402_1005Metric,121.0515,-124.683,0.0,top
C903,22nF,C_0402_1005Metric,121.0515,-125.826,0.0,top
C904,22uF,C_0603_1608Metric,115.6185,-119.588,0.0,top
C905,22uF,C_0603_1608Metric,115.6185,-121.254,0.0,top
C906,100nF,C_0402_1005Metric,115.6205,-118.206,0.0,top
D1001,1N4148WS,D_SOD-323,127.39775,-114.25975,180.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.458,-169.0,90.0,top
D202,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,110.871,-169.0,90.0,top
D401,1N4148WS,D_SOD-323,120.777,-140.081,180.0,top
D501,SS53,D_SMA,110.5,-117.0,90.0,top
D502,SS53,D_SMA,110.5,-109.5,90.0,top
D503,SS53,D_SMA,106.55,-117.0,90.0,top
D504,SS53,D_SMA,106.5,-109.5,90.0,top
D505,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.324,-113.284,180.0,top
D506,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.31,-115.824,180.0,top
D507,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.31,-118.364,180.0,top
D508,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.31,-120.904,180.0,top
D509,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.31,-123.444,180.0,top
D510,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.31,-125.984,180.0,top
D511,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.31,-128.524,180.0,top
D512,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.437,-131.064,180.0,top
J1001,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,144.015,-161.163,90.0,top
J101,FEMALE,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",120.945,-108.9325,180.0,top
J1301,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",101.4325,-115.5,-90.0,top
J1401,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",101.4325,-145.5,-90.0,top
J1501,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",101.4325,-160.5,-90.0,top
J401,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",101.4325,-130.5,-90.0,top
J501,Screw_Terminal_01x10,"TerminalBlock_Phoenix_MPT-0,5-10-2.54_1x10_P2.54mm_Horizontal",144.78,-122.301,90.0,top
J701,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,144.015,-140.163,90.0,top
J801,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,144.015,-147.163,90.0,top
J901,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,144.015,-154.163,90.0,top
L901,L,L_Bourns-SRN8040_8x8.15mm,119.19,-131.241,180.0,top
R1001,1k,R_0603_smalltext,131.08075,-114.38675,180.0,top
R1002,10k,R_0603_smalltext,130.82675,-128.86475,180.0,top
R1003,10k,R_0603_smalltext,127.01675,-128.86475,180.0,top
R1004,10k,R_0603_smalltext,138.557,-162.941,90.0,top
R1005,10k,R_0603_smalltext,138.557,-159.512,-90.0,top
R1601,10k,R_0603_smalltext,119.888,-162.814,90.0,top
R1602,220R,R_0402_1005Metric,130.6615,-161.34,0.0,top
R1603,220R,R_0402_1005Metric,130.6615,-160.324,0.0,top
R1604,220R,R_0402_1005Metric,130.6615,-159.308,0.0,top
R1605,220R,R_0402_1005Metric,130.6615,-158.292,0.0,top
R1606,220R,R_0402_1005Metric,130.6615,-157.276,0.0,top
R1607,220R,R_0402_1005Metric,130.6615,-156.26,0.0,top
R1608,220R,R_0402_1005Metric,130.6615,-155.244,0.0,top
R1609,220R,R_0402_1005Metric,130.6615,-154.228,0.0,top
R1610,220R,R_0402_1005Metric,120.015,-152.4,180.0,top
R1611,220R,R_0402_1005Metric,119.759001,-153.416,180.0,top
R1612,220R,R_0402_1005Metric,119.759001,-154.432,180.0,top
R1613,220R,R_0402_1005Metric,119.759001,-155.448,180.0,top
R1614,220R,R_0402_1005Metric,119.759001,-156.464,180.0,top
R1615,220R,R_0402_1005Metric,119.759001,-157.48,180.0,top
R1616,220R,R_0402_1005Metric,119.759001,-158.496,180.0,top
R1617,220R,R_0402_1005Metric,119.759001,-159.512,180.0,top
